policy_number,incident_date,incident_type,collision_type,incident_severity,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
749609,5/16/18 0:22,Multi-vehicle Collision,Rear Collision,Major Damage,71326,7019,14037,49166,Y
213294,12/7/21 9:27,Multi-vehicle Collision,Front Collision,Major Damage,36270,3696,7380,25522,N
746497,6/15/17 14:43,Multi-vehicle Collision,Front Collision,Minor Damage,69873,14003,6961,48484,N
648364,8/9/17 23:58,Single Vehicle Collision,Side Collision,Total Loss,46231,4690,9193,33918,N
943342,10/17/17 6:32,Single Vehicle Collision,Front Collision,Minor Damage,85565,17309,8772,61324,N
505400,11/11/18 18:08,Single Vehicle Collision,Front Collision,Minor Damage,99708,18167,18373,63261,N
660231,8/26/16 15:56,Single Vehicle Collision,Side Collision,Total Loss,45741,4647,9319,33530,
213293,12/24/20 1:25,Multi-vehicle Collision,Front Collision,Major Damage,36920,3676,7320,25990,N
458658,3/18/18 3:31,Vehicle Theft,?,Minor Damage,5067,1008,506,3564,N
698715,8/16/19 9:05,Single Vehicle Collision,Rear Collision,Major Damage,86346,15638,7902,62764,Y
596943,2/26/17 5:40,Multi-vehicle Collision,Rear Collision,Major Damage,48241,8670,8753,30804,N
267642,7/5/17 2:53,Multi-vehicle Collision,Rear Collision,Total Loss,74664,6168,12261,54931,N
914007,5/12/21 9:26,Multi-vehicle Collision,Rear Collision,Total Loss,63341,9728,9744,44419,Y
250517,6/29/23 13:45,Single Vehicle Collision,Rear Collision,Minor Damage,55117,10886,5489,37941,N
557480,5/22/20 10:33,Parked Car,?,Minor Damage,5124,941,466,3775,N
246636,11/14/19 22:42,Vehicle Theft,?,Trivial Damage,5769,961,945,3875,N
780698,2/10/19 7:45,Parked Car,?,Trivial Damage,3460,430,431,2594,N
705903,3/7/20 3:42,Multi-vehicle Collision,Rear Collision,Major Damage,35352,7137,3617,25196,Y
414307,9/11/16 16:30,Multi-vehicle Collision,Rear Collision,Total Loss,63731,10567,10576,42174,
879030,1/2/20 8:44,Single Vehicle Collision,Rear Collision,Major Damage,49509,9615,4833,33784,N
213125,3/1/17 17:16,Multi-vehicle Collision,Front Collision,Major Damage,36799,3688,7261,25413,N
286486,9/17/22 15:15,Single Vehicle Collision,Rear Collision,Total Loss,53711,6770,6770,40190,Y
895491,1/3/19 8:30,Multi-vehicle Collision,Front Collision,Total Loss,66352,12252,6080,48499,N
481076,1/14/22 8:42,Multi-vehicle Collision,Side Collision,Minor Damage,63323,11384,5726,45318,N
486965,1/16/22 19:13,Multi-vehicle Collision,Rear Collision,Total Loss,69217,6313,6271,56855,N
287918,7/13/22 19:12,Multi-vehicle Collision,Front Collision,Major Damage,74391,7434,14906,52146,N
868522,8/12/17 2:08,Parked Car,?,Minor Damage,3087,552,281,2197,N
700561,4/27/17 3:36,Multi-vehicle Collision,Rear Collision,Major Damage,35859,7159,3612,25141,Y
844671,4/19/22 10:59,Single Vehicle Collision,Rear Collision,Total Loss,56051,4769,9451,42013,N
265595,2/24/24 5:27,Single Vehicle Collision,Side Collision,Minor Damage,60688,6812,6694,46565,N
497376,9/17/18 17:15,Single Vehicle Collision,Side Collision,Major Damage,48925,9882,4878,35105,N
522099,10/23/23 5:17,Multi-vehicle Collision,Front Collision,Major Damage,68075,11252,5664,50667,Y
759332,2/1/16 18:04,Multi-vehicle Collision,Rear Collision,Total Loss,31123,3148,6210,21802,
598877,9/18/21 15:00,Single Vehicle Collision,Rear Collision,Minor Damage,92603,14109,14154,62888,N
759418,2/25/18 22:38,Multi-vehicle Collision,Front Collision,Minor Damage,58347,5294,10502,41782,N
368740,4/3/19 5:24,Single Vehicle Collision,Side Collision,Total Loss,49164,8969,8843,31553,N
517288,9/4/22 17:55,Multi-vehicle Collision,Rear Collision,Total Loss,36634,3614,7393,25486,N
487819,2/17/20 16:38,Multi-vehicle Collision,Side Collision,Minor Damage,61890,11567,5791,46302,N
256678,7/14/20 9:17,Single Vehicle Collision,Rear Collision,Total Loss,85273,15489,15563,55068,N
968701,2/7/18 3:11,Parked Car,?,Minor Damage,6835,657,677,5415,N
349910,2/3/17 22:38,Multi-vehicle Collision,Front Collision,Major Damage,50726,10189,5014,35312,Y
388574,1/19/24 8:22,Vehicle Theft,?,Trivial Damage,4231,849,424,2939,N
510334,9/29/23 12:48,Multi-vehicle Collision,Rear Collision,Major Damage,61987,13378,6723,40002,Y
174058,4/15/19 10:00,Multi-vehicle Collision,Side Collision,Total Loss,76421,8365,8447,59378,N
780318,11/17/23 23:56,Parked Car,?,Trivial Damage,3472,434,439,2577,N
730977,8/8/17 14:32,Single Vehicle Collision,Rear Collision,Minor Damage,77689,7137,14185,56560,N
893532,8/4/16 17:15,Multi-vehicle Collision,Rear Collision,Total Loss,63134,9670,9780,43767,
790877,3/19/16 18:41,Single Vehicle Collision,Rear Collision,Total Loss,51642,9321,9322,33527,
755796,3/14/17 14:36,Multi-vehicle Collision,Front Collision,Minor Damage,57890,5299,10707,42416,N
489515,12/12/23 0:46,Multi-vehicle Collision,Side Collision,Minor Damage,62702,11603,5746,45322,N
571832,4/2/17 18:24,Single Vehicle Collision,Side Collision,Minor Damage,61588,5536,11303,44865,N
494407,10/8/20 10:13,Single Vehicle Collision,Front Collision,Minor Damage,99149,18156,18035,64715,N
186070,6/9/18 17:55,Single Vehicle Collision,Side Collision,Minor Damage,57657,6461,6446,44807,N
271484,6/5/18 5:14,Single Vehicle Collision,Side Collision,Minor Damage,61054,6869,6787,47299,N
568101,4/26/18 3:50,Single Vehicle Collision,Front Collision,Minor Damage,86137,8710,8612,69191,N
949694,6/12/21 17:50,Multi-vehicle Collision,Front Collision,Total Loss,77038,7055,14163,57522,N
365977,4/19/18 21:21,Single Vehicle Collision,Side Collision,Total Loss,48403,8956,8889,31256,N
738469,7/6/19 6:36,Single Vehicle Collision,Rear Collision,Minor Damage,78271,6928,13974,55727,N
676917,9/18/17 17:01,Single Vehicle Collision,Rear Collision,Major Damage,86385,15488,7817,62760,Y
488504,2/20/20 3:09,Multi-vehicle Collision,Rear Collision,Total Loss,70000,6278,6402,57687,N
878146,5/19/22 18:19,Parked Car,?,Minor Damage,3076,555,282,2233,N
831408,7/29/16 10:46,Single Vehicle Collision,Rear Collision,Total Loss,56784,4711,9349,42309,
172892,8/23/18 6:58,Single Vehicle Collision,Rear Collision,Major Damage,60102,6762,6599,46313,N
288079,11/7/19 15:08,Single Vehicle Collision,Rear Collision,Total Loss,52996,6631,6692,39523,Y
182779,3/17/23 10:06,Single Vehicle Collision,Side Collision,Minor Damage,59154,6492,6395,45213,N
199295,5/18/16 16:36,Single Vehicle Collision,Rear Collision,Total Loss,60023,5965,6027,48194,
151470,12/19/18 17:23,Multi-vehicle Collision,Side Collision,Total Loss,67348,13546,6848,47337,N
485258,12/31/22 3:15,Multi-vehicle Collision,Rear Collision,Total Loss,69032,6312,6317,56269,N
934200,2/23/17 19:09,Parked Car,?,Minor Damage,6624,670,667,5356,N
701233,6/26/22 9:12,Single Vehicle Collision,Rear Collision,Major Damage,85691,15571,7928,62550,Y
927687,11/6/20 16:27,Single Vehicle Collision,Side Collision,Minor Damage,62897,6388,12568,43862,N
127768,6/14/16 3:58,Single Vehicle Collision,Rear Collision,Major Damage,42243,7693,7767,27094,
799169,2/15/24 12:27,Multi-vehicle Collision,Side Collision,Total Loss,50257,10021,5155,35516,N
661909,10/15/23 5:00,Multi-vehicle Collision,Rear Collision,Total Loss,56816,0,11347,45909,N
347021,6/26/19 20:53,Single Vehicle Collision,Side Collision,Total Loss,101724,8553,17287,76664,N
243904,1/3/17 22:35,Vehicle Theft,?,Trivial Damage,5825,975,945,3821,N
879600,11/29/21 0:49,Single Vehicle Collision,Rear Collision,Major Damage,48701,9671,4794,34265,N
949432,8/23/17 22:22,Single Vehicle Collision,Front Collision,Minor Damage,76540,6470,13060,57731,N
346668,5/23/21 12:57,Single Vehicle Collision,Side Collision,Total Loss,104597,8620,16867,77822,N
270011,4/11/22 19:04,Multi-vehicle Collision,Rear Collision,Total Loss,73748,6152,12213,54979,N
617519,2/11/17 6:11,Single Vehicle Collision,Side Collision,Total Loss,90021,8157,16353,66356,N
758702,4/29/19 8:24,Multi-vehicle Collision,Rear Collision,Major Damage,70176,7031,13852,49839,Y
244118,1/21/16 14:33,Vehicle Theft,?,Trivial Damage,5770,959,967,3812,
505979,10/26/19 2:10,Single Vehicle Collision,Front Collision,Minor Damage,99542,18429,18301,62839,N
882762,12/17/19 16:32,Multi-vehicle Collision,Front Collision,Total Loss,65789,12045,6038,48076,N
532478,10/18/19 1:54,Multi-vehicle Collision,Side Collision,Minor Damage,60856,5506,10854,44776,N
955876,12/27/17 16:21,Single Vehicle Collision,Side Collision,Minor Damage,63114,6301,12698,43771,N
754998,5/13/19 6:48,Multi-vehicle Collision,Front Collision,Minor Damage,68200,13920,6904,48576,N
858126,8/22/21 10:55,Parked Car,?,Minor Damage,9021,1650,826,6495,N
444900,3/6/21 20:40,Single Vehicle Collision,Front Collision,Major Damage,54437,6074,6169,43185,Y
648513,5/17/22 16:09,Single Vehicle Collision,Side Collision,Total Loss,46909,4718,9443,32655,N
156541,8/30/19 7:29,Multi-vehicle Collision,Rear Collision,Major Damage,42071,3886,7686,30931,Y
952485,11/14/22 19:22,Parked Car,?,Minor Damage,6710,673,658,5331,N
555479,7/5/23 11:52,Single Vehicle Collision,Side Collision,Minor Damage,106893,16672,16321,75055,N
199106,1/21/23 0:51,Single Vehicle Collision,Rear Collision,Total Loss,59926,6048,6025,48502,Y
570227,12/22/22 18:37,Single Vehicle Collision,Side Collision,Minor Damage,61566,5537,11192,44364,N
704882,10/26/23 0:10,Single Vehicle Collision,Front Collision,Total Loss,61115,6698,6667,47587,N
342402,8/15/16 20:46,Single Vehicle Collision,Side Collision,Total Loss,103414,8652,17255,77266,
856121,10/4/20 5:53,Single Vehicle Collision,Front Collision,Minor Damage,58858,11620,5817,40888,N
251402,9/24/22 22:48,Vehicle Theft,?,Trivial Damage,5761,962,957,3852,N
746614,10/6/22 2:19,Multi-vehicle Collision,Rear Collision,Total Loss,31070,3081,6093,21536,N
485471,5/28/21 1:38,Multi-vehicle Collision,Side Collision,Total Loss,90142,14965,14876,61115,N
270577,5/1/20 21:19,Single Vehicle Collision,Side Collision,Minor Damage,61178,6775,6855,47952,N
265828,7/21/16 18:51,Multi-vehicle Collision,Rear Collision,Total Loss,75348,6143,12362,53902,
418428,8/26/17 0:32,Multi-vehicle Collision,Rear Collision,Total Loss,63259,10444,10622,42485,N
506225,12/14/16 17:42,Multi-vehicle Collision,Rear Collision,Total Loss,36404,3616,7322,25422,N
934327,7/24/22 22:43,Single Vehicle Collision,Front Collision,Minor Damage,86431,17442,8857,61708,N
284569,8/16/20 3:07,Multi-vehicle Collision,Front Collision,Major Damage,73672,7383,15013,52418,N
489803,4/11/17 3:02,Multi-vehicle Collision,Rear Collision,Total Loss,69999,6315,6251,57143,N
188329,4/19/21 18:02,Single Vehicle Collision,Side Collision,Minor Damage,58536,6371,6401,44883,N
891001,3/10/16 0:36,Single Vehicle Collision,Rear Collision,Major Damage,48250,9660,4873,33513,
217136,1/27/19 9:21,Multi-vehicle Collision,Front Collision,Major Damage,36096,3731,7435,25744,N
484843,12/28/17 0:42,Parked Car,?,Trivial Damage,3988,662,644,2665,N
286536,8/31/23 23:17,Single Vehicle Collision,Rear Collision,Total Loss,53312,6643,6698,39339,Y
848572,5/22/20 18:55,Single Vehicle Collision,Rear Collision,Total Loss,56711,4718,9496,41713,N
367038,5/23/16 5:17,Single Vehicle Collision,Side Collision,Total Loss,49286,8907,8982,31375,
751458,10/22/21 18:17,Multi-vehicle Collision,Rear Collision,Total Loss,30825,3141,6135,21319,N
964859,12/18/20 3:18,Parked Car,?,Minor Damage,6932,673,666,5404,N
739044,1/6/19 20:06,Parked Car,?,Trivial Damage,5286,903,910,3622,N
938779,11/24/19 8:25,Single Vehicle Collision,Side Collision,Minor Damage,62673,6249,12690,43475,N
790275,3/27/19 6:11,Single Vehicle Collision,Rear Collision,Total Loss,50621,5685,5648,39346,N
247986,12/18/17 6:37,Vehicle Theft,?,Trivial Damage,5839,970,963,3818,N
483872,12/15/18 21:25,Multi-vehicle Collision,Front Collision,Total Loss,52741,5805,5938,41746,N
609398,10/31/23 13:56,Multi-vehicle Collision,Rear Collision,Major Damage,48435,8703,8867,29643,N
786478,5/16/16 6:05,Single Vehicle Collision,Rear Collision,Total Loss,50618,5646,5642,39428,
749694,3/6/23 14:56,Multi-vehicle Collision,Front Collision,Minor Damage,68976,13846,6862,48835,N
755278,2/4/24 0:35,Multi-vehicle Collision,Rear Collision,Major Damage,70081,6998,14083,49834,Y
198420,3/29/19 16:43,Single Vehicle Collision,Rear Collision,Total Loss,60975,6111,6008,47552,Y
871641,8/28/16 18:06,Parked Car,?,Minor Damage,3091,559,280,2224,
513229,8/2/20 13:05,Multi-vehicle Collision,Front Collision,Major Damage,52205,11585,5873,34892,N
665012,4/10/21 16:40,Multi-vehicle Collision,Front Collision,Total Loss,62159,10220,10132,40091,N
465156,4/3/17 19:29,Vehicle Theft,?,Minor Damage,5104,1009,507,3513,N
710327,1/18/19 7:59,Single Vehicle Collision,Front Collision,Total Loss,60160,6750,6775,47753,N
555883,6/17/24 19:55,Single Vehicle Collision,Side Collision,Minor Damage,109088,16301,16584,73904,N
711743,12/15/20 0:03,Single Vehicle Collision,Front Collision,Total Loss,61403,6651,6626,48272,N
603502,12/11/16 22:50,Single Vehicle Collision,Rear Collision,Minor Damage,91286,14182,14087,63608,N
771473,1/6/21 23:49,Parked Car,?,Trivial Damage,3480,427,436,2553,N
749125,3/23/22 6:54,Multi-vehicle Collision,Front Collision,Minor Damage,70024,13725,7035,48277,N
272412,4/15/21 5:21,Single Vehicle Collision,Side Collision,Minor Damage,60201,6780,6668,47034,N
936460,5/31/22 14:33,Single Vehicle Collision,Front Collision,Minor Damage,77497,6578,12883,59662,N
165877,12/14/16 9:21,Multi-vehicle Collision,Side Collision,Major Damage,77233,7202,14396,57562,N
161227,8/18/23 17:36,Multi-vehicle Collision,Side Collision,Major Damage,79074,7150,14549,56534,N
723609,8/25/16 6:30,Single Vehicle Collision,Rear Collision,Minor Damage,78488,7189,14075,57035,
165977,9/21/21 1:32,Multi-vehicle Collision,Side Collision,Major Damage,79978,7155,14205,56733,N
130836,3/5/22 4:11,Single Vehicle Collision,Rear Collision,Major Damage,42243,7814,7717,26823,N
938084,12/11/18 0:23,Single Vehicle Collision,Side Collision,Minor Damage,62549,6278,12718,44117,N
502214,1/1/16 9:40,Multi-vehicle Collision,Rear Collision,Total Loss,36682,3625,7294,24966,
580588,3/17/18 2:26,Single Vehicle Collision,Side Collision,Minor Damage,61988,5570,11146,44952,N
942265,8/31/21 3:55,Multi-vehicle Collision,Front Collision,Major Damage,62863,6222,6239,50919,Y
155418,11/15/20 9:27,Multi-vehicle Collision,Side Collision,Total Loss,66626,13875,6800,47581,N
751912,4/11/20 16:26,Multi-vehicle Collision,Rear Collision,Major Damage,70949,7053,14270,49482,Y
769215,1/24/20 15:47,Parked Car,?,Trivial Damage,3425,434,425,2563,N
897257,10/26/23 16:53,Single Vehicle Collision,Rear Collision,Major Damage,48157,9852,4879,33877,N
823366,5/10/19 20:17,Multi-vehicle Collision,Side Collision,Total Loss,50498,10285,5032,35215,N
907766,4/21/17 22:12,Parked Car,?,Trivial Damage,6342,641,1275,4469,Y
599173,7/15/18 15:00,Multi-vehicle Collision,Side Collision,Total Loss,24108,2176,4443,17847,N
206606,10/20/20 14:49,Parked Car,?,Trivial Damage,4339,0,956,3333,N
635390,12/7/20 8:08,Parked Car,?,Trivial Damage,5969,674,664,4709,N
694655,4/2/21 16:23,Multi-vehicle Collision,Rear Collision,Minor Damage,34210,7842,3869,23086,N
678692,12/14/21 17:01,Parked Car,?,Minor Damage,6435,540,1083,4818,N
391616,11/8/19 7:51,Multi-vehicle Collision,Rear Collision,Total Loss,80643,14605,14625,50748,N
344431,8/30/20 18:15,Single Vehicle Collision,Front Collision,Minor Damage,84901,16701,8353,59417,Y
739619,2/2/16 2:26,Multi-vehicle Collision,Rear Collision,Minor Damage,39996,6706,6655,26530,
640754,1/17/17 20:59,Vehicle Theft,?,Trivial Damage,4914,452,900,3624,N
680781,6/9/17 8:15,Multi-vehicle Collision,Rear Collision,Minor Damage,34636,7829,3845,23101,N
118487,5/25/18 18:26,Multi-vehicle Collision,Front Collision,Major Damage,72931,14556,14518,43693,N
770055,3/9/20 14:14,Single Vehicle Collision,Rear Collision,Total Loss,51318,5680,5594,40146,N
674773,4/11/21 17:45,Multi-vehicle Collision,Front Collision,Total Loss,67112,10263,10444,46877,N
687149,9/2/18 1:03,Single Vehicle Collision,Rear Collision,Major Damage,85670,15731,7827,63412,Y
601495,12/3/21 21:51,Multi-vehicle Collision,Rear Collision,Major Damage,47978,8741,8666,30462,N
752344,5/31/20 20:17,Single Vehicle Collision,Front Collision,Total Loss,91676,8336,16600,66584,Y
334556,7/28/22 10:19,Single Vehicle Collision,Front Collision,Minor Damage,84045,16744,8172,59922,Y
803490,9/28/22 18:46,Single Vehicle Collision,Side Collision,Major Damage,52164,10580,5195,37156,N
846808,7/12/17 18:48,Single Vehicle Collision,Rear Collision,Total Loss,57352,4713,9244,42700,N
874007,7/9/19 18:12,Parked Car,?,Minor Damage,3104,562,278,2240,N
269076,5/19/19 13:17,Single Vehicle Collision,Side Collision,Minor Damage,59933,6705,6753,47504,N
459457,12/7/23 3:44,Vehicle Theft,?,Minor Damage,5095,1025,505,3593,N
627652,9/14/17 21:03,Single Vehicle Collision,Front Collision,Total Loss,65773,7140,7287,51083,N
981054,5/13/23 4:47,Vehicle Theft,?,Trivial Damage,7192,1436,716,4973,N
601687,11/25/17 6:52,Single Vehicle Collision,Rear Collision,Minor Damage,90377,14020,14196,64314,N
535431,9/30/22 4:12,Single Vehicle Collision,Rear Collision,Major Damage,46607,5330,5171,36744,N
158279,1/16/19 5:49,Parked Car,?,Trivial Damage,5567,950,935,3818,N
888574,11/12/22 8:51,Single Vehicle Collision,Rear Collision,Major Damage,48119,9478,4838,33295,N
409901,5/25/24 11:47,Single Vehicle Collision,Side Collision,Total Loss,40371,5742,5743,28799,N
141802,1/13/22 7:37,Parked Car,?,Trivial Damage,5919,653,653,4585,N
922665,11/5/18 11:39,Multi-vehicle Collision,Side Collision,Total Loss,61084,10883,5584,42979,Y
703120,10/3/19 19:08,Single Vehicle Collision,Front Collision,Minor Damage,63552,10816,10718,42965,N
