months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit
94,31,596943,10/27/97 11:12,IL,100/300,1982,1013.706415,0
126,31,267642,2/5/99 23:20,IL,500/1000,2022,913.4848032,0
103,32,914007,1/16/13 17:02,IN,250/500,502,1160.349059,0
144,29,250517,10/3/20 9:29,IN,100/300,497,1385.812384,5028186
101,27,557480,7/11/09 22:16,IL,500/1000,507,988.6831052,6002035
30,31,246636,8/26/07 0:55,IL,250/500,2028,1141.892812,0
17,39,780698,11/24/04 3:51,IL,250/500,1008,846.3659452,0
270,43,705903,10/8/08 19:22,IL,500/1000,2003,1028.77445,0
429,55,414307,2/29/96 0:13,OH,100/300,1001,1391.701899,0
48,35,879030,2/17/08 7:02,IL,100/300,490,1088.761743,0
94,26,213125,11/9/97 1:48,IN,100/300,497,727.7900454,0
118,28,286486,12/7/17 0:57,OH,250/500,1990,1092.948829,0
308,49,895491,7/9/04 17:31,IL,100/300,2042,1332.472134,0
152,36,481076,6/29/15 15:15,OH,250/500,2025,869.5045556,0
238,40,486965,7/8/15 11:04,IN,100/300,499,1462.775091,0
120,28,287918,4/12/17 17:50,IN,500/1000,2029,1218.846777,0
271,40,868522,6/23/99 9:39,IL,100/300,998,1247.646842,0
269,43,700561,6/1/98 7:53,IL,500/1000,1985,1043.500759,0
60,23,844671,6/7/16 20:11,OH,500/1000,499,1223.478147,3005915
90,31,265595,2/17/23 20:15,IN,100/300,996,1355.282022,4065747
26,39,497376,6/16/03 3:14,IN,250/500,1002,768.5530397,0
214,42,522099,11/25/21 23:45,OH,500/1000,496,1842.096179,0
196,38,759332,12/14/93 1:56,IN,500/1000,1003,1273.069563,0
247,46,598877,4/29/14 11:26,IL,500/1000,2002,1100.82252,0
251,47,759418,6/8/01 13:14,IL,250/500,500,1290.485664,0
332,50,368740,5/31/05 0:33,IL,500/1000,1011,976.9983204,0
157,33,517288,10/21/17 9:20,OH,100/300,1006,1764.441304,2978681
150,35,487819,8/2/08 23:36,OH,250/500,2007,869.7107428,0
9,30,256678,1/19/10 13:46,IL,100/300,993,1065.298448,0
47,37,968701,4/1/01 11:12,IN,250/500,1998,1247.697,0
161,31,349910,8/7/97 18:34,OH,100/300,1999,618.1649874,0
4,28,388574,10/10/22 23:29,IL,250/500,496,1370.146063,5075949
265,43,510334,9/1/21 6:05,IL,100/300,495,1519.255848,6032642
98,27,174058,7/14/05 3:39,OH,500/1000,487,1584.173265,0
17,39,780318,2/27/22 6:58,IL,250/500,1008,842.7198307,0
235,39,730977,6/10/99 19:03,IN,100/300,997,895.5378459,0
105,32,893532,10/14/95 13:54,IN,250/500,503,1159.740509,0
176,36,790877,6/2/94 7:01,OH,250/500,984,1260.92601,0
255,46,755796,12/25/97 17:25,IL,250/500,499,1298.368149,0
152,37,489515,5/25/22 6:54,OH,250/500,2038,875.2705219,0
353,47,571832,3/5/98 1:42,IN,250/500,2010,1151.336818,0
258,41,494407,11/26/10 23:56,IL,250/500,2031,1238.177728,0
2,28,186070,6/19/02 6:40,IL,250/500,991,1324.798607,0
90,31,271484,6/2/02 21:17,IN,100/300,1003,1332.783655,3950044
120,30,568101,1/8/02 21:24,IN,250/500,494,966.8338426,0
364,53,949694,5/10/13 4:25,OH,250/500,2011,1458.81329,0
326,50,365977,12/17/01 4:44,IL,500/1000,997,982.8587109,0
240,40,738469,5/6/06 10:43,IN,100/300,1003,878.3892562,0
40,22,676917,11/6/99 13:43,IN,500/1000,499,1197.423942,0
238,40,488504,8/11/08 19:25,IN,100/300,501,1447.664163,0
271,40,878146,9/25/16 12:47,IL,100/300,1003,1247.157973,0
60,23,831408,9/21/95 21:13,OH,500/1000,505,1210.333529,2978409
146,32,172892,3/16/03 2:16,OH,100/300,1990,1262.887852,0
118,28,288079,7/30/07 13:28,OH,250/500,1996,1082.775164,0
2,28,182779,9/22/19 9:48,IL,250/500,995,1327.556317,0
62,28,199295,1/5/95 3:42,IL,100/300,999,1001.968947,0
431,60,151470,5/17/04 18:36,OH,500/1000,999,1338.932003,0
236,40,485258,12/20/18 6:54,IN,100/300,504,1445.967769,0
47,37,934200,10/18/97 15:23,IN,250/500,1995,1239.48634,0
39,22,701233,2/8/17 16:51,IN,500/1000,504,1178.895237,0
317,46,927687,3/12/11 21:46,OH,100/300,495,1212.5575,6873457
325,48,127768,4/10/95 23:27,IL,250/500,1994,1293.628855,0
208,37,799169,1/17/23 7:45,IL,250/500,504,1165.542973,0
74,31,661909,10/27/21 23:46,OH,100/300,501,817.1711153,0
344,51,347021,4/2/06 9:42,OH,500/1000,499,1495.631978,9008217
30,31,243904,4/17/97 13:27,IL,250/500,1986,1163.874244,0
48,35,879600,1/12/15 22:41,IL,100/300,496,1089.909452,0
478,58,949432,8/5/99 6:29,OH,100/300,503,1223.021767,0
350,51,346668,2/26/13 1:21,OH,500/1000,505,1491.238155,9017843
125,30,270011,5/11/16 2:28,IL,500/1000,1987,911.6183456,0
183,38,617519,9/3/97 6:02,OH,500/1000,2028,1456.217657,0
227,43,758702,9/2/05 14:03,OH,250/500,507,1468.393501,8169760
30,31,244118,11/3/93 17:37,IL,250/500,1972,1157.128803,0
250,41,505979,6/15/07 4:07,IL,250/500,2020,1226.449457,0
309,49,882762,12/22/07 13:21,IL,100/300,1989,1351.472472,0
141,30,532478,5/17/07 4:08,IL,100/300,506,1317.406349,0
319,46,955876,11/2/00 10:17,OH,100/300,507,1239.475173,7018831
275,45,754998,10/23/05 0:26,IL,500/1000,495,963.3513157,0
255,43,858126,1/21/14 3:10,IN,100/300,1984,1328.087771,0
311,48,444900,5/20/12 21:24,OH,100/300,1010,856.9661466,0
24,33,648513,9/17/16 23:14,IL,500/1000,1008,1933.211309,0
175,36,156541,11/21/06 15:46,OH,500/1000,507,1176.728941,0
47,37,952485,7/5/18 14:20,IN,250/500,2006,1240.93059,0
394,49,555479,10/24/20 19:54,OH,100/300,2011,1116.668438,0
61,28,199106,3/5/19 22:29,IL,100/300,1003,1002.011338,0
351,47,570227,11/20/18 0:39,IN,250/500,1970,1178.654318,0
224,38,704882,12/6/21 1:49,IN,100/300,2024,1156.621154,0
351,51,342402,11/23/95 22:13,OH,500/1000,504,1496.931291,8992550
145,34,856121,11/11/10 20:49,IL,100/300,505,1437.081066,0
30,31,251402,1/2/18 12:24,IL,250/500,2003,1148.52213,0
192,38,746614,2/11/18 20:43,IN,500/1000,1020,1258.471817,0
359,51,485471,3/14/13 10:43,IL,250/500,995,1169.377492,0
91,31,270577,4/28/09 12:56,IN,100/300,1025,1321.483448,3981143
126,30,265828,8/25/95 3:30,IL,500/1000,2008,908.4146234,0
431,54,418428,8/12/99 20:03,OH,100/300,1003,1369.612414,0
157,32,506225,2/3/97 10:23,OH,100/300,977,1719.555022,3030479
3,39,934327,5/23/17 2:09,OH,500/1000,1003,1301.856866,0
119,28,284569,5/18/10 2:11,IN,500/1000,2020,1198.583628,0
233,40,489803,4/4/98 7:56,IN,100/300,502,1445.938426,0
2,28,188329,10/26/12 18:09,IL,250/500,987,1365.191111,0
48,35,891001,4/27/94 23:44,IL,100/300,504,1085.951994,0
96,26,217136,10/4/04 17:27,IN,100/300,499,725.8785744,0
33,24,484843,11/3/00 16:33,IN,500/1000,2012,1541.599706,0
119,28,286536,5/20/21 20:46,OH,250/500,2018,1090.415991,0
60,23,848572,7/13/09 4:32,OH,500/1000,495,1208.669892,3011618
335,49,367038,1/21/95 13:05,IL,500/1000,1005,973.9632451,0
192,38,751458,8/31/14 0:53,IN,500/1000,1007,1281.393025,0
47,37,964859,8/9/11 22:41,IN,250/500,1994,1241.262934,0
298,48,739044,7/22/04 8:07,OH,250/500,985,1175.721392,0
320,46,938779,9/29/07 1:56,OH,100/300,490,1225.149492,6977970
108,30,790275,5/5/05 19:22,OH,250/500,501,529.4346792,0
30,31,247986,9/29/00 9:16,IL,250/500,2008,1156.943361,0
209,37,483872,5/3/04 21:45,OH,250/500,2019,1269.765757,4016767
93,31,609398,12/26/21 5:59,IL,100/300,1988,1026.746813,0
105,30,786478,12/27/94 7:53,OH,250/500,497,533.8069492,0
272,45,749694,8/14/19 7:44,IL,500/1000,501,946.1052018,0
233,43,755278,12/6/22 17:10,OH,250/500,503,1479.155134,7960312
61,28,198420,5/14/05 15:11,IL,100/300,1002,983.6454624,0
273,40,871641,1/9/96 13:50,IL,100/300,984,1243.475808,0
397,57,513229,3/29/10 22:03,IN,100/300,1004,1363.295017,0
412,56,665012,9/23/12 23:23,IN,500/1000,1013,1145.233597,4001415
183,35,465156,3/8/98 20:29,IL,500/1000,992,1246.269432,0
222,39,710327,9/1/04 22:42,IN,100/300,1997,1166.64201,0
391,49,555883,4/7/24 15:44,OH,100/300,1968,1086.428931,0
226,38,711743,7/29/11 14:21,IN,100/300,2016,1143.75866,0
242,45,603502,1/24/97 8:18,IL,500/1000,2025,1094.477448,0
17,38,771473,10/20/11 19:30,IL,250/500,1014,827.2516989,0
270,45,749125,3/1/16 11:55,IL,500/1000,503,940.1790561,0
92,31,272412,10/10/12 8:46,IN,100/300,998,1349.63315,4009732
467,57,936460,11/7/16 9:37,OH,100/300,503,1234.274152,0
318,45,165877,2/2/97 4:07,IL,100/300,2029,1289.300744,4969663
315,45,161227,4/2/21 22:54,IL,100/300,2018,1285.986038,5059802
240,40,723609,12/27/95 23:14,IN,100/300,994,890.5229309,0
314,46,165977,5/8/14 7:15,IL,100/300,1995,1289.701757,5011259
322,49,130836,12/26/15 22:24,IL,250/500,1985,1284.020895,0
320,46,938084,4/16/04 6:07,OH,100/300,502,1230.088576,7084299
159,33,502214,8/22/93 14:33,OH,100/300,1008,1756.033213,2978654
355,47,580588,8/16/01 21:32,IN,250/500,2000,1149.168156,0
353,47,942265,2/21/14 15:39,OH,500/1000,2012,1291.784867,4057664
433,59,155418,4/13/11 10:16,OH,500/1000,1003,1351.14395,0
230,43,751912,2/14/09 9:52,OH,250/500,506,1472.663553,8102958
17,39,769215,5/7/08 23:40,IL,250/500,994,846.7800408,0
48,36,897257,12/8/21 14:21,IL,100/300,501,1104.876802,0
213,35,823366,10/14/05 4:37,IL,250/500,501,1155.036928,0
254,44,907766,5/13/98 9:59,OH,500/1000,2002,814.6592038,5910472
271,46,599173,10/27/02 3:26,IN,500/1000,500,1324.420482,0
124,31,206606,1/10/11 3:02,IN,500/1000,493,1227.450706,0
95,27,635390,7/1/11 20:38,IL,100/300,991,1658.247325,0
135,30,694655,8/25/12 23:25,OH,100/300,1970,1415.719648,5004425
140,30,678692,3/10/15 16:23,IN,500/1000,1004,1339.964241,0
205,40,391616,8/2/07 1:59,IL,500/1000,496,1236.325296,0
275,41,344431,7/10/10 1:06,OH,250/500,1986,949.8392336,5000604
0,32,739619,12/15/93 8:12,OH,500/1000,989,1399.180371,0
233,39,640754,6/6/97 23:50,IL,100/300,497,1059.798875,4087340
135,29,680781,11/4/98 16:06,OH,100/300,1975,1406.131077,4959310
141,36,118487,4/26/02 1:30,OH,500/1000,2015,975.9089508,0
104,30,770055,10/17/08 15:11,OH,250/500,503,541.0454994,0
128,29,674773,9/27/12 18:10,OH,250/500,1970,1324.460755,4888363
39,22,687149,4/20/03 9:33,IN,500/1000,507,1149.606407,0
94,31,601495,1/30/15 14:20,IL,100/300,1987,1023.454134,0
212,39,752344,8/14/09 23:17,IN,250/500,982,1038.833432,0
273,41,334556,6/4/17 16:45,OH,250/500,1995,942.48844,4957949
45,37,803490,1/16/18 9:16,IN,250/500,1010,1111.309215,0
60,23,846808,3/5/99 17:03,OH,500/1000,494,1221.927682,3039893
271,40,874007,5/19/06 1:18,IL,100/300,1010,1251.880998,0
91,31,269076,11/14/05 17:07,IN,100/300,987,1364.331534,4059978
179,36,459457,5/7/22 15:16,IL,500/1000,1001,1250.628972,0
11,39,627652,10/23/99 16:51,IL,250/500,1968,1478.356632,0
38,28,981054,4/14/20 22:09,OH,250/500,1003,1015.075271,0
240,44,601687,7/8/00 4:07,IL,500/1000,2031,1116.200552,0
456,62,535431,1/21/18 10:18,IL,500/1000,2010,1328.4291,5014249
84,25,158279,8/25/04 9:08,IN,250/500,497,1254.948215,0
47,35,888574,6/26/18 18:31,IL,100/300,501,1093.045755,0
166,38,409901,1/14/24 4:19,IL,100/300,1986,1580.562477,0
276,45,141802,6/25/15 20:28,IL,250/500,492,1452.168157,0
332,48,922665,12/9/03 15:37,IL,100/300,1991,1142.631374,0
253,44,703120,3/26/07 11:29,IL,500/1000,1995,1569.632584,0
93,31,608487,5/15/94 15:22,IL,100/300,2001,1008.73827,0
184,38,613844,1/11/08 17:30,OH,500/1000,2013,1419.351292,0
245,41,592583,4/22/15 13:13,IL,100/300,496,1339.980925,0
275,44,695613,11/13/01 3:43,IL,500/1000,2020,1027.20877,0
258,43,864847,10/18/96 0:02,IN,100/300,2008,1322.638184,0
264,41,625911,7/27/09 1:23,IN,250/500,2004,1726.207749,6014545
62,28,204982,11/30/01 19:21,IL,100/300,979,989.6904763,0
229,38,694676,2/14/08 18:31,IN,100/300,1976,1130.629228,0
246,43,693863,4/29/00 19:50,IL,500/1000,1994,1555.379247,0
401,56,540748,12/25/02 9:38,IN,100/300,985,1176.68937,6062180
257,47,763228,9/11/18 16:22,IL,250/500,503,1311.51541,0
308,47,435486,2/15/95 18:16,OH,100/300,997,841.2250693,0
3,38,927301,6/27/10 10:30,OH,500/1000,994,1309.940888,0
271,40,876057,3/9/20 8:37,IL,100/300,1003,1248.821473,0
257,44,111296,11/3/11 16:21,OH,100/300,996,1274.241996,0
122,31,744043,1/29/05 23:37,IN,250/500,498,1296.969785,0
60,23,832481,12/25/12 0:21,OH,500/1000,503,1211.999714,2978301
448,56,294790,10/29/12 6:40,OH,250/500,1954,1431.908313,0
257,43,110119,4/17/15 12:11,OH,100/300,989,1277.246765,0
316,46,943507,12/7/93 18:38,OH,100/300,498,1197.908864,7030232
177,35,474436,9/25/94 0:39,IL,500/1000,999,1248.438234,0
196,35,574166,3/9/06 10:45,IL,100/300,1000,1233.736639,0
271,46,362133,11/10/95 1:21,OH,500/1000,990,1370.316777,0
301,49,902305,8/14/97 1:52,IL,100/300,2043,1352.575901,0
436,54,419893,11/14/16 23:11,OH,100/300,999,1369.964912,0
243,43,931720,5/27/96 6:25,IN,250/500,1009,934.8578342,0
137,29,689486,5/23/95 20:17,OH,100/300,1988,1404.922473,4988344
85,30,840499,7/16/99 2:20,IN,500/1000,2024,1810.764372,0
227,37,566686,4/19/20 23:11,IN,500/1000,1007,1330.326743,0
2,28,183702,1/5/99 10:50,IL,250/500,991,1358.927056,0
91,32,268859,7/8/95 5:38,IN,100/300,1012,1326.49924,3972631
34,35,417048,3/28/17 14:43,OH,500/1000,502,1313.886996,0
430,53,419892,7/8/06 11:42,OH,100/300,1002,1383.821427,0
68,26,591364,1/28/98 18:26,IL,100/300,1993,919.2150497,0
320,49,795111,4/29/21 10:21,IL,250/500,2012,1734.652455,6984021
238,39,746843,2/25/20 18:01,IN,100/300,1008,887.6922552,0
197,35,587993,2/2/13 2:25,IL,100/300,998,1243.497227,0
208,40,389531,9/5/00 10:20,IL,500/1000,499,1246.0238,0
140,34,412816,2/22/16 22:21,IN,250/500,1007,1319.143433,0
178,38,612422,7/29/04 21:41,OH,500/1000,2006,1443.346469,0
248,43,683872,2/19/14 3:08,IL,500/1000,2020,1540.627228,0
241,43,921178,11/9/99 2:14,IN,250/500,990,954.0277451,0
145,30,252766,8/4/96 14:42,IN,100/300,498,1383.26602,4896128
17,39,775783,9/15/18 11:09,IL,250/500,985,839.7289688,0
160,38,499108,4/27/18 6:03,OH,250/500,500,1728.903487,0
118,28,287299,12/4/06 6:22,IN,500/1000,2001,1212.670489,0
3,38,956176,12/9/13 6:20,OH,500/1000,984,1295.166107,0
446,61,261569,11/2/12 1:26,IL,100/300,1038,1238.2149,0
298,49,875584,11/17/14 5:00,IL,100/300,1990,1341.565249,0
237,45,591757,11/15/10 15:36,IL,500/1000,1995,1103.067721,0
128,29,689832,4/15/09 22:20,OH,250/500,2041,1327.494048,5036766
192,35,285396,11/24/21 17:29,IN,250/500,508,1471.045747,5089762
84,25,161464,1/2/15 20:37,IN,250/500,497,1256.959738,0
61,28,201066,4/9/12 6:50,IL,100/300,997,993.0117244,0
407,58,547533,9/11/23 8:36,IN,100/300,1014,1188.124923,6004955
265,41,616098,6/21/16 17:02,IN,250/500,1977,1723.71295,6058082
268,45,594487,5/15/99 7:36,IN,500/1000,496,1298.149993,0
193,35,589233,10/30/95 23:17,IL,100/300,1002,1242.224004,0
24,33,654627,11/27/02 15:55,IL,500/1000,1006,1898.794494,0
236,43,743602,6/24/19 21:21,OH,250/500,499,1448.673451,7893486
63,28,201004,6/18/98 23:32,IL,100/300,1008,1008.583017,0
158,33,502203,12/31/03 2:02,OH,100/300,1018,1750.743758,3014099
240,40,493678,6/3/22 2:43,IN,100/300,499,1476.702385,0
4,29,383522,7/7/05 20:21,IL,250/500,492,1374.792397,4947820
149,34,789299,6/8/08 12:10,IL,500/1000,995,865.7767767,3960573
73,30,648444,5/16/18 3:57,OH,100/300,495,779.3697893,0
254,44,911675,1/28/19 8:57,OH,500/1000,2001,817.250141,6006055
34,24,474406,7/21/21 15:30,IN,500/1000,1996,1542.564189,0
267,43,527930,11/10/07 22:46,IL,100/300,493,1505.864916,6027529
105,33,906417,9/9/02 5:33,IN,250/500,503,1165.191501,0
256,41,499600,7/19/00 12:28,IL,250/500,2007,1225.352261,0
275,47,288736,4/8/97 17:38,OH,100/300,2006,1124.813592,0
284,41,506749,6/7/09 21:15,IL,250/500,985,1294.184771,6005182
160,33,510346,7/18/00 6:12,OH,100/300,986,1720.980728,3019592
11,39,612719,7/9/20 15:49,IL,250/500,1988,1477.656011,0
193,38,741545,4/22/04 13:25,IN,500/1000,1010,1285.520623,0
62,23,837072,8/17/02 12:53,OH,500/1000,496,1218.044418,3043227
327,47,914798,11/4/10 7:16,IL,100/300,2017,1135.459259,0
73,30,654649,3/17/94 9:10,OH,100/300,498,795.5866197,0
151,36,484379,2/19/05 3:46,OH,250/500,2002,861.2237313,0
357,47,930887,7/1/24 3:08,OH,500/1000,2030,1262.543555,3986507
193,41,215899,7/17/99 8:36,OH,250/500,505,853.5235104,0
126,29,268619,11/27/12 6:38,IL,500/1000,2021,897.2095758,0
85,25,160795,4/17/94 21:39,IN,250/500,498,1262.804575,0
84,30,842357,2/1/96 6:30,IN,500/1000,2005,1835.268311,0
228,37,562007,6/29/06 15:53,IN,500/1000,1004,1323.42144,0
146,32,169414,2/8/10 17:55,OH,100/300,1993,1278.612629,0
156,32,354688,1/19/01 14:24,OH,100/300,1985,627.6807972,0
155,35,782887,11/21/11 7:59,IL,500/1000,994,856.1545678,4000028
152,36,487785,1/15/12 19:25,OH,250/500,2019,872.456454,0
361,48,580074,1/28/05 17:21,IN,250/500,2032,1142.633924,0
154,37,621021,11/6/18 3:48,IN,500/1000,509,1024.939368,0
164,37,414983,2/17/17 12:40,IL,100/300,1992,1573.864678,0
287,42,519806,5/12/13 16:56,OH,100/300,501,1330.487131,-1004109
305,49,885806,5/1/18 0:49,IL,100/300,1989,1349.474385,0
73,29,650841,6/20/11 12:17,OH,100/300,497,804.6637885,0
126,30,271720,10/23/19 22:17,IL,500/1000,2029,908.936028,0
323,48,130542,1/30/09 6:45,IL,250/500,1973,1277.176917,0
72,30,649789,2/10/01 0:49,OH,100/300,509,811.028737,0
11,38,646123,5/10/96 21:02,IL,250/500,1997,1447.238185,0
407,57,544246,6/8/06 5:28,IN,100/300,987,1189.959359,6042057
17,39,770571,12/29/97 12:11,IL,250/500,1002,852.1421877,0
192,36,281137,8/21/04 14:21,IN,250/500,501,1480.685373,4959189
313,46,943537,8/24/14 17:35,OH,100/300,504,1231.921595,7069688
344,52,344484,8/9/16 21:10,OH,500/1000,501,1473.783272,9041354
94,30,144014,5/14/19 6:46,IN,250/500,2002,1028.92308,0
17,39,780146,4/3/15 15:19,IL,250/500,987,851.7767703,0
256,41,497504,2/4/97 16:38,IL,250/500,1983,1229.974669,0
223,38,695919,3/21/01 2:52,IN,100/300,2026,1170.449914,0
252,42,498460,10/22/17 15:35,IL,250/500,2013,1236.216229,0
229,43,758478,1/11/16 1:31,OH,250/500,503,1500.914807,8079144
11,39,620835,12/22/23 11:38,IL,250/500,2005,1472.9484,0
189,38,251361,1/4/15 2:52,IN,250/500,2001,1342.623059,0
